Dish Name,Carbohydrates (g),Protein (g),Fats (g)
Hot tea (Garam Chai),2.58,0.39,0.53
Instant coffee,3.65,0.64,0.75
Espreso coffee,6.62,1.75,2.14
Iced tea,2.7,0.03,0.01
Raw mango drink (Aam panna),9.05,0.16,0.03
Fruit Punch (with fresh juices),9.38,0.14,0.03
Fruit Punch (with squashes),5.99,0.07,0.02
Lemonade,5.48,0.03,0.01
Lem-o-gin,5.55,0.08,0.03
Cumin infused water (Jeere/Zeere ka pani),1.86,0.17,0.11
Coco pine cooler,5.72,0.56,1.0
Summer cooler,5.43,0.37,0.04
Hot cocoa,9.23,3.36,4.56
Cold coffee with ice cream,11.24,1.57,2.11
Banana milkshake (Kele milkshake),9.15,1.84,2.37
Mango milkshake (Aam milkshake),7.23,1.73,2.35
Pineapple milkshake (Ananas milkshake),7.62,1.66,2.23
Orange milkshake (Narangi milkshake),7.11,1.86,2.52
Egg nog,8.15,4.78,5.11
Sweet Lassi (Meethi lassi),6.51,1.29,0.68
Lassi (salted),1.86,1.35,0.72
Cheese and chilli sandwich ,27.4,6.8,9.78
Egg sandwich (Ande ka sandwich),29.16,8.69,15.8
Cucumber sandwich (Kheere ka sandwich),25.77,4.8,8.0
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),29.1,8.2,12.8
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),26.92,7.92,12.27
Chicken sandwich,25.38,13.12,11.75
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),28.54,9.53,16.14
Rainbow sandwich,34.26,7.75,12.54
Club sandwich ,18.51,7.31,15.12
Vegetarian club sandwich,19.68,5.45,11.33
Pin wheel sandwich,14.0,8.77,24.93
Carrot apple sandwich (Gajar aur seb ka sandwich),29.04,5.3,9.12
Salami sandwich,21.54,8.7,15.51
Vegetable and mayonnaise sandwich,23.2,4.47,15.4
Egg and tomato sandwich (Ande aur tamatar ka sandwich),25.9,7.66,10.51
Sweet open sandwich,39.24,4.99,8.15
Mushroom and cheese sandwich (toasted),21.01,7.79,13.01
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),21.42,6.82,12.95
Pea potato sandwich (toasted) (Matar aloo ka sandwich),25.17,4.6,5.43
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),24.05,12.4,11.98
Chicken sandwich (toasted),18.82,12.08,5.32
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),20.26,11.06,5.61
Classic club sandwich,18.49,6.74,11.56
Sesame toast,11.15,1.9,49.38
Cracked wheat porridge (Meetha daliya),8.87,2.64,4.08
Semolina porridge (Suji/Rava daliya),12.39,3.75,4.08
Oatmeal Porridge,8.77,2.6,3.22
Cornflakes with milk,14.95,3.59,5.12
Rice flakes (Chiwda/Aval),15.57,3.62,3.99
Wheat flakes,15.57,3.62,3.99
Murmura (Puffed rice),15.67,3.62,4.04
Puffed wheat (Murmure/Moori),15.67,3.62,4.04
Boiled egg (Ubla anda),0.12,4.43,3.04
Fried Egg ,0.31,11.59,19.62
Poached egg,0.37,11.98,8.19
Scrambled egg (Ande ki bhurji),1.35,10.29,12.21
Baked egg ,15.42,11.88,12.65
Plain omelette/omlet,0.64,9.66,25.74
Stuffed egg omelette/omlet,2.3,8.6,17.77
Pancake,20.49,5.68,10.82
Keema pancake,9.56,9.01,11.25
Vegetable pancake,12.24,3.87,6.57
Jam and fruit pancake,20.73,3.79,7.01
Khoa and coconut pancake,27.32,6.98,15.29
Brown stock,0.25,1.95,1.38
Vegetable stock,0.96,0.3,1.38
Chicken stock,0.37,3.69,1.51
Clear tomato soup (Tamatar ka soup),3.45,4.79,12.22
Lentil soup,3.94,9.65,11.68
Chicken consomme (Clear chicken soup),1.19,11.47,12.02
Cream of tomato soup,3.93,4.61,13.12
Cream of green peas soup,6.75,7.13,14.78
Cream of spinach soup,3.45,5.21,13.31
Cream of mixed vegetable soup,4.93,6.84,9.05
Cream of mushroom soup,3.74,6.64,15.5
Chicken sweet corn soup,1.63,14.48,12.59
Minestrone soup,3.71,9.3,11.09
Egg drop soup,1.1,12.93,13.52
Chinese cabbage and meat ball soup,1.43,5.21,56.57
French onion soup,4.28,11.41,14.39
Hot and sour soup,1.78,3.12,1.31
Talaumein soup,4.17,10.12,12.78
Cold cucumber soup (Thanda kheere ka soup),4.58,2.99,1.99
Cold summer garden soup,2.65,8.57,14.08
Chapati/Roti,35.65,5.88,3.56
Plain parantha/paratha,30.69,5.06,16.86
Potato parantha/paratha (Aloo ka parantha/paratha),23.92,3.7,10.22
Radish parantha/paratha (Mooli ka parantha/paratha),20.54,3.3,9.53
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),18.84,3.73,9.47
Dal parantha/paratha,30.03,6.78,13.05
Sprouted moong parantha/paratha,24.31,4.29,12.43
Pea parantha/paratha (Matar ka parantha/paratha),21.51,5.59,8.8
Keema parantha/paratha,18.36,9.41,13.91
Paneer parantha/paratha,24.33,7.98,14.62
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),21.39,5.54,12.09
Poori,8.22,1.35,77.61
Spinach poori (Palak poori),7.76,1.42,71.86
Methi poori,7.98,1.45,74.6
Dal stuffed poori,10.14,2.08,81.69
Potato stuffed poori (Aloo ki poori),9.4,1.52,81.35
Tandoori parantha/paratha,30.74,5.08,16.51
Boiled rice (Uble chawal),25.72,2.6,0.18
Plain pulao,21.82,2.34,4.62
Mixed vegetable pulao,17.49,2.72,3.33
Mushroom pulao,19.02,2.52,4.03
Sprouted moong pulao,17.49,2.19,3.61
Paneer pulao,8.76,1.98,59.81
Peanut pulao ,21.18,5.32,9.51
Navratan pulao,36.98,6.2,9.45
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),27.57,4.88,4.82
Mutton biryani/biriyani,22.5,7.38,7.72
Vegetable biryani/biriyani,18.56,3.16,9.51
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",21.62,4.26,7.88
Sweet rice (Meethe chawal),42.59,2.1,4.57
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),32.93,5.75,4.32
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),65.08,7.45,8.53
Spanish rice,31.1,4.19,2.23
Chinese fried rice,13.4,4.05,5.43
Macroni cheese pie,21.1,5.85,7.48
Vegetable chowmein,15.44,3.07,6.36
Chicken chowmein,13.3,6.33,8.23
Cheese noodle ring,13.96,6.22,6.12
Spaghetti and cheese balls in tomato sauce,7.82,2.41,52.08
Penne platter,20.87,5.04,8.71
Pasta hot pot,11.6,5.84,6.47
Chicken lasagne,13.9,10.45,10.36
Fettuccine with spinach sauce,12.19,3.1,7.83
Naan,51.75,8.05,4.99
Bhatura,10.73,1.63,82.56
Idli,28.18,4.64,0.33
Masala dosa,19.57,3.29,7.84
Semolina dosa (Suji/Rava dosa),32.84,7.3,7.12
Onion tomato uttapam,11.32,1.91,45.3
Paneer kaathi roll,20.1,6.92,19.55
Makki ki roti,24.19,3.49,16.85
Washed moong dal (Dhuli moong ki dal),5.91,2.68,1.68
Washed urad dal (Dhuli urad ki dal),5.84,2.51,2.98
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),7.1,2.79,3.6
Dry washed urad,15.66,6.85,3.5
Mixed dal,5.79,2.51,3.1
Whole moong (Moong ki dal),5.22,2.25,2.56
Whole masoor (Masoor ki dal),5.37,2.28,2.52
Whole moth (Moth ki dal),5.74,2.01,2.62
Whole urad (Urad ki dal),5.05,2.21,2.62
Moti mahal dal (Urad rajmah mix dal),8.74,3.93,5.66
Black channa curry/Bengal gram curry (Kale chane ki curry),14.11,5.67,6.61
Chickpeas curry (Safed channa curry),19.98,6.1,6.84
Lobia curry,17.88,6.06,5.62
Soyabean curry,6.76,10.43,10.19
Kidney bean curry (Rajmah curry),16.38,5.95,5.77
Sambar,10.57,3.35,4.38
Besan kadhi with pakodies,3.56,1.64,42.59
Khatta channa,21.14,6.3,10.56
Sprouted moong dal chat,6.01,1.35,0.32
Potato cauliflower (Aloo gobhi),5.99,1.9,8.13
Potato capsicum (Shimla mirch aloo),8.72,1.41,9.33
Cabbage and peas (Pattagobhi aur matar),6.24,3.24,2.64
Carrot and fenugreek leaves (Gajar methi),4.17,2.1,3.81
Potato fenugreek (Aloo methi),8.47,2.25,10.04
Brinjal bhartha (Baingan ka bhartha),4.4,1.38,4.48
Dry potato (Sookhe aloo),14.38,1.62,4.18
Beans with coconut (Nariyal aur sem/phali; Beans thoran),4.39,2.62,11.39
Cauliflower with coconut (Nariyal ke saath phoolgobhi),3.99,2.64,11.56
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),4.99,1.82,8.62
Raw turnip with coconut ,5.78,1.8,11.47
Raw papaya with coconut (Papaya thoran),5.58,1.54,11.42
Stuffed okra (Bharwa bhindi),3.85,2.08,7.66
Stuffed round gourd (Bharwa tinde),4.02,1.1,5.75
Stuffed capsicum (Bharwa shimla mirch),8.26,1.34,5.7
Stuffed brinjal (Bharwa baingan),3.96,1.53,7.73
Stuffed tomatoes (Bharwa tamatar),6.19,3.28,6.06
Pea potato curry (Aloo matar),9.74,3.48,5.13
Pea paneer curry (Matar paneer),9.29,6.61,7.75
Pea mushroom curry (Matar mushroom),7.41,3.87,5.16
Pea curry (Matar ki sabzi),9.2,4.51,5.11
Pea vadi curry,8.9,4.64,5.08
Paneer curry,8.4,7.8,12.38
Lotus stem curry (Kamal kakdi curry),9.24,1.53,7.25
Gravy for kofta,6.31,1.75,10.35
Pea kofta curry (Matar kofta curry),4.17,2.01,63.39
Spinach kofta curry (Palak kofta curry),3.56,1.09,61.49
Paneer kofta curry,3.27,2.39,72.06
Lotus stem kofta curry (Kamal kakdi kofta curry),5.01,0.96,67.76
Raw banana kofta curry (Kela kofta curry),3.4,0.62,67.98
